Temporada;Jornada;Recaptació;Pot;15;14;13;12;11;10
12-13;07;7865666,50;533363;999;4572;44953;227091;729179;1620345
12-13;08;8530169,50;875163;330;1077;21978;187810;755080;1843777
12-13;09;2241094,00;0;0;2;133;2213;21879;123425
12-13;10;8416687,00;2156954;0;0;81;1458;14305;90839
12-13;11;3712764,50;0;0;2;87;1408;12566;73020
12-13;12;9816396,00;4232735;16;29;624;6790;47370;235614
12-13;13;2206657,50;0;0;7;108;1573;14018;83165
12-13;14;8197427,00;0;33;104;2780;32044;209898;818189
12-13;15;8859593,50;1329711;0;0;11;302;3666;27938
12-13;16;2083938,00;0;1;1;64;1105;11002;65109
12-13;17;8257438,50;0;7;12;322;5418;50880;290182
12-13;18;9663915,00;3278821;35;119;4684;54725;327122;1145324
12-13;19;1813548,00;0;4;14;783;10714;67278;236506
12-13;20;8110159,00;869752;3;5;117;2281;22545;135332
12-13;21;1580166,00;0;0;0;425;6679;48733;206022
12-13;22;8027952,50;0;0;0;29;575;6656;47506
12-13;23;1832898,00;0;0;0;10;208;2177;15147
12-13;24;7690065,00;653071;26;43;3113;41723;257247;913022
12-13;25;9081153,50;2861493;0;0;8;193;2588;22110
12-13;26;7740583,00;4859347;1;10;191;2909;24687;145121
12-13;27;7555721,00;0;58;240;4940;46855;252357;872485
12-13;28;8233978,50;680015;12;17;626;8064;62871;309527
12-13;29;7964447,50;0;3;6;146;2165;21108;125156
12-13;30;7920503,00;0;23;196;7329;77051;382331;1141977
12-13;31;8481401,00;712845;1;1;92;1513;17507;113272
12-13;32;7737307,00;0;2;2;48;816;7564;46983
12-13;33;1491251,50;0;0;0;13;242;2530;16551
12-13;34;7094749,00;0;128;276;6584;60980;308565;984004
12-13;35;1532359,50;0;0;0;7;125;1583;12529
12-13;36;7025370,50;0;0;4;121;1770;15634;93070
12-13;37;8030534,00;1303722;0;2;30;455;4581;30971
12-13;38;8501005,50;2809312;3;8;229;3420;31894;193510
12-13;39;7666267,00;0;13;26;684;10658;86714;434005
12-13;40;3590881,00;0;0;0;20;215;2603;17706
12-13;41;6728457,50;0;0;0;6;169;1833;12986
12-13;42;8181555,00;2270254;37;69;2760;31255;197828;796938
12-13;43;7843211,00;736340;4;11;264;3596;27782;149865
12-13;44;7269870,50;0;18;67;1631;18468;123374;507051
12-13;45;7435599,50;0;1;2;41;563;5752;38535
12-13;46;6899057,50;0;60;244;5797;60491;343370;1048417
12-13;47;7433546,00;620915;0;2;55;1275;15974;111678
12-13;48;6979249,00;1364270;7;9;209;3131;25554;137507
12-13;49;6559514,00;0;0;2;69;857;8258;56286
12-13;50;7162491,50;655951;1;9;260;3541;29752;162969
12-13;51;3727500,50;0;75;112;2312;21969;120870;429567
13-14;01;4857762,00;0;22;43;1131;12899;84879;359786
13-14;02;5387057,00;0;0;3;176;4096;37135;202965
13-14;03;5945918,50;0;6;8;127;2155;18456;99946
13-14;04;3120552,00;0;0;0;3;57;536;3479
13-14;05;7125143,50;874181;59;124;2883;31518;190643;702526
13-14;06;1879980,50;0;8;13;987;17802;135315;428451
13-14;07;6519768,00;0;3;7;332;5311;44152;235699
13-14;08;2772968,00;0;700;980;27513;176836;533542;982248
13-14;09;6898037,50;1327784;0;3;171;2833;25362;149390
13-14;10;2090683,50;0;49;103;2446;24085;129759;403911
13-14;11;7493909,00;2436353;26;93;2590;31306;197509;732682
